iter	CrossEntropy
283	0.4615507105
284	0.4611927629
285	0.4609307099
286	0.4606183331
287	0.460457794
288	0.4602598052
289	0.4600597906
290	0.4599835201
291	0.4599388295
292	0.4597574241
293	0.4596663341
294	0.4593026245
295	0.4590660302
296	0.4588511116
297	0.4586080161
298	0.4584430128
299	0.4583408365
300	0.4582063962
301	0.457723727
302	0.4575601045
303	0.4574236909
304	0.4570418998
305	0.4568280654
306	0.4563449775
307	0.4561370902
308	0.4560086106
309	0.4556998695
310	0.4552693083
311	0.4548220563
312	0.4547635715
313	0.4544442891
314	0.4543892134
315	0.4540645643
316	0.4539746548
317	0.4534591363
318	0.4530915412
319	0.4527837188
320	0.4523830139
321	0.4518698575
322	0.4515549182
323	0.4512665336
324	0.4512101986
325	0.4511528419
326	0.4511207207
327	0.4509964681
328	0.4508642156
329	0.4506873813
330	0.4506451688
331	0.4503077244
332	0.4500122998
333	0.4497780568
334	0.4496167507
335	0.4495572242
336	0.4495562694
337	0.4494734302
338	0.4493550913
339	0.4491758408
340	0.4487792114
341	0.4485003862
342	0.4482632714
343	0.4479658117
344	0.447848235
345	0.4477799429
346	0.4474972536
347	0.4470571542
348	0.44667744
349	0.4465388823
350	0.4460315316
351	0.445873317
352	0.4452842574
353	0.4449279946
354	0.4449048821
355	0.4446533942
356	0.4446399103
357	0.4441830756
358	0.4440991731
359	0.4437977182
360	0.4436561088
361	0.4436505804
362	0.443405597
363	0.4432796039
364	0.4430753175
365	0.442935835
366	0.4428937103
367	0.4427592958
368	0.4427592929
369	0.4423477094
370	0.4422552024
371	0.4419080116
372	0.4417780014
373	0.4416107849
374	0.4414793862
375	0.4412991473
376	0.441190729
377	0.4410557312
378	0.4408754988
379	0.4404583081
380	0.440245217
381	0.4401826782
382	0.4400905777
383	0.4398455454
384	0.4397916044
385	0.4397101528
386	0.4396069716
387	0.4395527333
388	0.4394839913
389	0.4393608954
390	0.4388791379
391	0.4385314411
392	0.4382305214
393	0.4381732251
394	0.4378801254
395	0.4378386755
396	0.4377278602
397	0.4373176821
398	0.4372493856
399	0.4369238917
400	0.4364679804
401	0.4364381284
402	0.4363183065
403	0.4360992271
404	0.4358039478
405	0.4356481734
406	0.4356447146
407	0.4354033407
408	0.4353982543
409	0.4353078374
410	0.4348779375
411	0.4345785649
412	0.4344473562
413	0.4342176147
414	0.4339795993
415	0.4336840134
416	0.4336647977
417	0.4335357443
418	0.4330789963
419	0.433063542
420	0.4325712544
421	0.4323233881
422	0.4322521571
423	0.4321056975
424	0.4318064306
425	0.4316667059
426	0.4315907019
427	0.431331236
428	0.4312781786
429	0.4311795106
430	0.4311209502
431	0.4309929677
432	0.4307670386
433	0.4306431164
434	0.4304642014
435	0.430356781
436	0.4301508117
437	0.4298445218
438	0.4295239046
439	0.429375545
440	0.4292747531
441	0.429274564
442	0.4291184245
443	0.4288129648
444	0.4287334122
445	0.4286118293
446	0.4286008548
447	0.4284372006
448	0.4280773802
449	0.4279417014
450	0.4277585014
451	0.427619957
452	0.4275397514
453	0.4274431657
454	0.4273483144
455	0.4272692787
456	0.4272080263
457	0.4269928949
458	0.4269530914
459	0.4267981876
460	0.4266959159
461	0.4265907399
462	0.4265544668
463	0.4263599775
464	0.4258836378
465	0.4255735811
466	0.4254650125
467	0.4254042225
468	0.4251332182
469	0.4250903376
470	0.4249925358
471	0.4248042858
472	0.4247268521
473	0.4245675599
474	0.4243541978
475	0.4242577838
476	0.424096076
477	0.4237717025
478	0.4237459856
479	0.4236808051
480	0.4235564592
481	0.4234477255
482	0.4234475686
483	0.4231768691
484	0.4228125392
485	0.4224448599
486	0.4222265204
487	0.4218799704
488	0.4218027957
489	0.4216743624
490	0.4215203353
491	0.4214353737
492	0.4214331736
493	0.4212245099
494	0.4211281791
495	0.4209038511
496	0.4207361112
497	0.4203286798
498	0.4201307653
499	0.4200619112
500	0.4200251458
501	0.4199857407
502	0.4199660406
503	0.4196392129
504	0.4196255789
505	0.4195789494
506	0.4194396041
507	0.4191386444
508	0.4191044737
509	0.4191043703
510	0.4190430896
511	0.4189935625
512	0.4189892165
513	0.4189872368
514	0.418907996
515	0.4187129119
516	0.418519772
517	0.4184499142
518	0.4183923378
519	0.4183922741
520	0.4183321184
521	0.4179687396
522	0.417832011
523	0.4178302987
524	0.4177875296
525	0.4177861944
526	0.4177798862
527	0.4176018247
528	0.4173065624
529	0.4170048773
530	0.4169683367
531	0.416941052
532	0.4166972575
533	0.4165106995
534	0.4164017989
535	0.4163259482
536	0.4161731039
537	0.4157667971
538	0.4156547298
539	0.4154550949
540	0.4153513374
541	0.414829621
542	0.414501378
543	0.4143206885
544	0.4142928096
545	0.4140062975
546	0.413614538
547	0.4131751492
548	0.4131586534
549	0.4129968515
550	0.4128946281
551	0.412805692
552	0.4127526802
553	0.4125981345
554	0.4124503534
555	0.4123972215
556	0.4123501196
557	0.412111021
558	0.4120521944
559	0.4120172035
560	0.4118489892
561	0.4117083938
562	0.4116800791
563	0.4116468033
564	0.4115399315
565	0.4113765931
566	0.410991274
567	0.4108869142
568	0.4108830633
569	0.4108301312
570	0.410725911
571	0.4105513488
572	0.410537512
573	0.4104384095
574	0.4102017419
575	0.4099890077
576	0.4095755779
577	0.4094696056
578	0.4094214087
579	0.409247645
580	0.4090560228
581	0.4089114502
582	0.408453406
583	0.4083253758
584	0.4082516022
585	0.4082337909
586	0.4081810197
587	0.4079504061
588	0.4079193492
589	0.4076770663
590	0.4076193644
591	0.4074901374
592	0.4072799889
593	0.4072547669
594	0.4072215113
595	0.4069866475
596	0.4069225782
597	0.406848742
598	0.4068454616
599	0.4067987975
600	0.4066717097
601	0.4066360001
602	0.4064450508
603	0.406433069
604	0.4064013153
605	0.406256636
606	0.4062141594
607	0.4061767735
608	0.406038318
609	0.4058880236
610	0.4058749822
611	0.4058610787
612	0.4058511302
613	0.4057719384
614	0.4052816057
615	0.4051884582
616	0.4048075217
617	0.4045124556
618	0.4044661348
619	0.4043073925
620	0.4042583051
621	0.4040829536
622	0.404078775
623	0.4040548372
624	0.403888354
625	0.4038661772
626	0.403629772
627	0.4035969855
628	0.4035425126
629	0.4034382972
630	0.4031440633
631	0.4030654983
632	0.4030422952
633	0.4030060257
634	0.4026408819
635	0.4024082427
636	0.4023156996
637	0.4022804553
638	0.4021802212
639	0.4021421568
640	0.4021356991
641	0.4018689494
642	0.4017523568
643	0.4013717569
644	0.4012526981
645	0.4011062839
646	0.4010849002
647	0.4004877335
648	0.4004815399
649	0.4004192361
650	0.4003295907
651	0.4001495259
652	0.3999112836
653	0.3997167852
654	0.3994321667
655	0.3993948773
656	0.3993930695
657	0.3993059676
658	0.3991244452
659	0.3990729802
660	0.3990550423
661	0.39903362
662	0.3988979115
663	0.398752393
664	0.3986985194
665	0.3984719892
666	0.3984205931
667	0.3984202823
668	0.3983107537
669	0.3982706323
670	0.3982469597
671	0.39820362
672	0.3981884562
673	0.3978702074
674	0.3977254906
675	0.397475975
676	0.3972024421
677	0.3971392019
678	0.3970385323
679	0.3968717681
680	0.3968180012
681	0.3964551236
682	0.3961668495
683	0.3961336691
684	0.396039475
685	0.3959872227
686	0.3959870864
687	0.3958069473
688	0.3957844386
689	0.3954990671
690	0.3954786504
691	0.3954207023
692	0.3953514168
693	0.3953512222
694	0.395303835
695	0.3952625507
696	0.3951959278
697	0.3950486817
698	0.3949676724
699	0.394967652
700	0.3948512492
701	0.3946894815
702	0.3946798746
703	0.394607123
704	0.3945983766
705	0.394540382
706	0.3945135005
707	0.3944558368
708	0.3943702393
709	0.394297722
710	0.394253647
711	0.3942260029
712	0.3939572571
713	0.3938029122
714	0.3936910387
715	0.3936909748
716	0.3936900085
717	0.3935931273
718	0.393439846
719	0.3931677439
720	0.3931535446
721	0.3930658418
722	0.3930492064
723	0.3929964818
724	0.3927072993
725	0.392551871
726	0.3924427697
727	0.3924116752
728	0.3923499353
729	0.3921828435
730	0.3921366386
731	0.392112892
732	0.39186452
733	0.391856226
734	0.3917145373
735	0.3915061386
736	0.391400599
737	0.3912123051
738	0.3911435112
739	0.3911378228
740	0.3911347543
741	0.3911084389
742	0.3910658826
743	0.3910166171
744	0.3906514038
745	0.3906136257
746	0.3905807
747	0.3905540113
748	0.3905134347
749	0.3904690004
750	0.3904684399
751	0.3904552821
752	0.3901539224
753	0.3901404949
754	0.3901377199
755	0.3901371485
756	0.3898498665
757	0.3896818198
758	0.3896364614
759	0.3896330216
760	0.3894880405
761	0.3893718313
762	0.3893306008
763	0.3893291944
764	0.3893023223
765	0.3893006736
766	0.3892563053
767	0.3891991156
768	0.3891987956
769	0.3890897652
770	0.3890660187
771	0.3890139545
772	0.3889630597
773	0.3888300604
774	0.3886707613
775	0.3886626241
776	0.3881901566
777	0.3881647122
778	0.3880313799
779	0.3879290841
780	0.3878317799
781	0.3876521485
782	0.3875123122
783	0.3871553106
784	0.387066374
785	0.3869221538
786	0.3869217847
787	0.3868367206
788	0.3867979774
789	0.3867978901
790	0.3867380686
791	0.3867303213
792	0.3867017292
793	0.3865928152
794	0.3864191381
795	0.3863616703
796	0.3861357329
797	0.3861194018
798	0.3859762301
799	0.3858266191
800	0.3856642646
801	0.3856283544
802	0.3851096321
803	0.3850862778
804	0.3850037448
805	0.384779511
806	0.3847782894
807	0.3845974926
808	0.3845732022
809	0.3845208371
810	0.3845208098
811	0.3844005926
812	0.3843528804
813	0.384352826
814	0.3842607568
815	0.3842516637
816	0.3841948501
817	0.3841943083
818	0.384045964
819	0.3839805172
820	0.383977851
821	0.3839010718
822	0.3836587029
823	0.3836095003
824	0.383568755
825	0.3835083088
826	0.3834503554
827	0.3832859851
828	0.3832845274
829	0.3829673099
830	0.3825914682
831	0.3825573235
832	0.3822757679
833	0.382154662
834	0.3819134529
835	0.3818876903
836	0.3818469174
837	0.381839126
838	0.3818373733
839	0.3817091632
840	0.3813419999
841	0.3813232527
842	0.3808727871
843	0.3807149482
844	0.380683956
845	0.3806758266
846	0.3806585751
847	0.3805185959
848	0.3803570206
849	0.3802493786
850	0.3801351931
851	0.3799751043
852	0.3799508693
853	0.3798891785
854	0.3798434023
855	0.3795189443
856	0.3795077436
857	0.3793695383
858	0.3793531634
859	0.3793257427
860	0.3793170151
861	0.3792165234
862	0.3791841738
863	0.3791370984
864	0.3790854756
865	0.3790787979
866	0.3790010914
867	0.3789740413
868	0.3789601802
869	0.3789501496
870	0.3789303766
871	0.3786579704
872	0.3786387059
873	0.3786309451
874	0.3785552901
875	0.3785394986
876	0.3785298915
877	0.3783735633
878	0.3783734277
879	0.3782384482
880	0.3780100988
881	0.3780076186
882	0.3779462572
883	0.3779317849
884	0.3778912127
885	0.3778605483
886	0.3777640274
887	0.3777633013
888	0.3777296535
889	0.3776972704
890	0.3776964619
891	0.3776963031
892	0.3776469976
893	0.377531602
894	0.3775171498
895	0.3774900761
896	0.3773107028
897	0.3772751732
898	0.3771981655
899	0.3770848454
900	0.3770800279
901	0.3770531915
902	0.3770325385
903	0.376965417
904	0.3766027596
905	0.3764367865
906	0.3764363064
907	0.3764153449
908	0.3764150529
909	0.3763907513
910	0.3763162693
911	0.3762476276
912	0.3760624077
913	0.3760391371
914	0.3760201669
915	0.3760067371
916	0.37573843
917	0.3757181534
918	0.375464561
919	0.3752726443
920	0.3752233389
921	0.3750629376
922	0.3750110872
923	0.3750086161
924	0.37500103
925	0.3749888164
926	0.374924031
927	0.374896074
928	0.3745708062
929	0.3744848767
930	0.3743791928
931	0.37435889
932	0.3743568927
933	0.3742363741
934	0.3741897308
935	0.3741045538
936	0.3740505793
937	0.3740365191
938	0.3740361687
939	0.3740184752
940	0.3739881935
941	0.3738650876
942	0.3738385106
943	0.3738195241
944	0.3735901779
945	0.3735337665
946	0.3733191271
947	0.3731292762
948	0.3731038462
949	0.3731017553
950	0.3728976317
951	0.3727844966
952	0.3727534398
953	0.3724441406
954	0.3723865954
955	0.3723703737
956	0.3722686296
957	0.372217667
958	0.3722078354
959	0.3721275531
960	0.3719799328
961	0.37197826
962	0.3718975351
963	0.3718061501
964	0.3716736631
965	0.3716276921
966	0.371591145
967	0.3714675101
968	0.3713954773
969	0.371342664
970	0.3712713236
971	0.371128602
972	0.3710792689
973	0.3709392025
974	0.3709130689
975	0.3709113218
976	0.3706745069
977	0.3704089345
978	0.3703939138
979	0.3702019226
980	0.3701050341
981	0.3700790935
982	0.3700693482
983	0.3700350625
984	0.3699850945
985	0.3699638464
986	0.3697152759
987	0.3696807749
988	0.3696418097
989	0.369557389
990	0.3695010731
991	0.3694015199
992	0.3693190959
993	0.3693123457
994	0.3692486276
995	0.3691615826
996	0.369118064
997	0.369117161
998	0.3690985382
999	0.3690029083
