iter	Passed	Remaining
400	18185	27165
401	18244	27139
402	18291	27097
403	18338	27053
404	18386	27012
405	18437	26975
406	18477	26922
407	18526	26881
408	18559	26818
409	18606	26775
410	18658	26739
411	18707	26698
412	18760	26663
413	18811	26627
414	18858	26583
415	18907	26543
416	18955	26501
417	19000	26455
418	19050	26416
419	19107	26387
420	19162	26354
421	19217	26322
422	19260	26272
423	19310	26232
424	19357	26190
425	19404	26146
426	19449	26099
427	19494	26053
428	19538	26005
429	19583	25958
430	19630	25915
431	19676	25871
432	19722	25826
433	19768	25781
434	19815	25736
435	19860	25691
436	19904	25643
437	19948	25596
438	19993	25549
439	20038	25503
440	20085	25459
441	20106	25383
442	20153	25340
443	20200	25296
444	20252	25259
445	20305	25222
446	20340	25164
447	20386	25119
448	20442	25086
449	20488	25041
450	20534	24997
451	20585	24957
452	20628	24909
453	20677	24867
454	20722	24821
455	20769	24778
456	20815	24732
457	20860	24686
458	20908	24643
459	20951	24595
460	20988	24540
461	21027	24486
462	21077	24446
463	21123	24401
464	21174	24361
465	21220	24316
466	21265	24270
467	21306	24220
468	21357	24180
469	21402	24135
470	21448	24089
471	21496	24046
472	21541	24000
473	21585	23953
474	21637	23915
475	21682	23868
476	21728	23823
477	21773	23777
478	21819	23732
479	21862	23684
480	21908	23639
481	21953	23592
482	21977	23525
483	22021	23477
484	22066	23431
485	22109	23383
486	22156	23339
487	22202	23294
488	22248	23248
489	22292	23202
490	22335	23154
491	22381	23109
492	22414	23051
493	22464	23009
494	22512	22967
495	22569	22933
496	22618	22891
497	22668	22850
498	22714	22805
499	22765	22765
500	22814	22722
501	22862	22679
502	22912	22639
503	22967	22602
504	23012	22557
505	23060	22513
506	23107	22469
507	23163	22433
508	23213	22392
509	23235	22324
510	23286	22283
511	23336	22242
512	23376	22192
513	23399	22124
514	23442	22076
515	23487	22031
516	23534	21986
517	23584	21945
518	23629	21899
519	23650	21831
520	23693	21783
521	23734	21734
522	23779	21688
523	23812	21631
524	23859	21587
525	23897	21535
526	23931	21479
527	23980	21436
528	24029	21394
529	24075	21350
530	24119	21303
531	24163	21256
532	24207	21210
533	24252	21163
534	24297	21118
535	24338	21069
536	24385	21024
537	24430	20979
538	24474	20932
539	24518	20885
540	24561	20838
541	24610	20796
542	24655	20750
543	24708	20711
544	24751	20664
545	24829	20645
546	24876	20601
547	24921	20555
548	24968	20511
549	25013	20465
550	25060	20421
551	25112	20381
552	25161	20338
553	25208	20294
554	25253	20248
555	25297	20201
556	25346	20159
557	25391	20112
558	25435	20066
559	25483	20022
560	25530	19978
561	25573	19931
562	25614	19882
563	25658	19834
564	25698	19785
565	25744	19740
566	25790	19695
567	25835	19649
568	25878	19602
569	25925	19557
570	25984	19522
571	26029	19476
572	26063	19422
573	26109	19377
574	26155	19332
575	26202	19287
576	26246	19241
577	26288	19193
578	26331	19146
579	26376	19100
580	26421	19054
581	26470	19011
582	26517	18967
583	26558	18918
584	26596	18867
585	26640	18821
586	26689	18778
587	26740	18736
588	26785	18690
589	26842	18653
590	26893	18611
591	26940	18566
592	26979	18517
593	27023	18470
594	27072	18427
595	27116	18381
596	27164	18337
597	27211	18292
598	27239	18235
599	27285	18190
600	27332	18145
601	27380	18102
602	27435	18062
603	27486	18020
604	27530	17974
605	27578	17930
606	27621	17883
607	27668	17838
608	27715	17794
609	27762	17749
610	27811	17706
611	27855	17660
612	27885	17604
613	27941	17565
614	27993	17524
615	28042	17480
616	28090	17437
617	28136	17391
618	28182	17346
619	28228	17301
620	28276	17257
621	28322	17212
622	28352	17156
623	28392	17108
624	28437	17062
625	28478	17014
626	28522	16968
627	28569	16923
628	28613	16876
629	28668	16837
630	28713	16791
631	28783	16760
632	28832	16716
633	28886	16675
634	28932	16630
635	28979	16585
636	29022	16538
637	29066	16492
638	29106	16443
639	29149	16396
640	29177	16341
641	29219	16293
642	29265	16248
643	29309	16202
644	29354	16156
645	29397	16109
646	29439	16062
647	29485	16017
648	29523	15967
649	29566	15920
650	29606	15871
651	29651	15826
652	29695	15780
653	29743	15735
654	29789	15690
655	29835	15645
656	29862	15590
657	29912	15547
658	29959	15502
659	30003	15456
660	30047	15410
661	30093	15365
662	30136	15318
663	30183	15273
664	30227	15227
665	30275	15183
666	30322	15138
667	30343	15080
668	30390	15036
669	30437	14991
670	30484	14947
671	30530	14901
672	30574	14855
673	30619	14810
674	30666	14765
675	30714	14721
676	30764	14678
677	30809	14632
678	30853	14586
679	30905	14543
680	30951	14498
681	31002	14455
682	31049	14410
683	31095	14365
684	31139	14319
685	31183	14273
686	31210	14219
687	31257	14174
688	31301	14128
689	31344	14082
690	31387	14035
691	31434	13991
692	31479	13945
693	31502	13889
694	31545	13843
695	31586	13796
696	31631	13750
697	31676	13705
698	31719	13658
699	31737	13601
700	31782	13556
701	31825	13509
702	31868	13463
703	31912	13417
704	31955	13371
705	32000	13325
706	32045	13280
707	32091	13235
708	32135	13189
709	32178	13143
710	32223	13097
711	32266	13051
712	32305	13003
713	32349	12957
714	32391	12911
715	32417	12858
716	32447	12806
717	32492	12761
718	32537	12716
719	32586	12672
720	32633	12628
721	32676	12581
722	32719	12535
723	32764	12490
724	32807	12444
725	32850	12398
726	32895	12352
727	32948	12310
728	32995	12265
729	33042	12221
730	33087	12175
731	33155	12138
732	33202	12094
733	33247	12048
734	33288	12001
735	33329	11954
736	33367	11907
737	33406	11859
738	33446	11812
739	33477	11762
740	33508	11712
741	33558	11668
742	33608	11624
743	33655	11580
744	33702	11535
745	33754	11492
746	33803	11448
747	33850	11404
748	33908	11363
749	33960	11320
750	33988	11269
751	34043	11227
752	34093	11183
753	34141	11139
754	34172	11089
755	34200	11038
756	34249	10994
757	34297	10950
758	34350	10907
759	34381	10857
760	34434	10814
761	34483	10770
762	34528	10724
763	34561	10676
764	34610	10631
765	34644	10583
766	34689	10537
767	34737	10493
768	34777	10446
769	34826	10402
770	34871	10357
771	34916	10312
772	34960	10266
773	35009	10222
774	35052	10176
775	35095	10130
776	35141	10085
777	35186	10040
778	35233	9995
779	35278	9950
780	35326	9905
781	35370	9860
782	35420	9816
783	35470	9772
784	35517	9727
785	35565	9683
786	35586	9631
787	35627	9585
788	35665	9537
789	35690	9487
