id,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,GBH,GBD,GBA,BSH,BSD,BSA,year,win_team
3243,26295,177837,95509,37762,276121,30895,160448,500520,157723,194165,37506,31465,77690,23268,24216,24846,23782,33639,26151,212866,215384,181276,2.25,3.6,3.25,2.35,3.4,3.2,2.3,3.3,2.9,2.3,3.5,3.2,2.24,3.58,3.39,2.38,3.0,3.2,0.0,0.0,0.0,2.3,3.5,3.3,0.0,0.0,0.0,0.0,0.0,0.0,2014,1
3244,287894,94915,36000,193901,51841,237542,59595,287231,180126,331542,20694,114737,26618,27425,26660,45464,303905,37319,66940,35997,26982,140965,2.3,3.4,3.0,2.4,3.2,2.95,2.2,3.3,3.1,2.2,3.4,3.2,2.44,3.31,3.24,2.4,3.1,3.1,0.0,0.0,0.0,2.4,3.4,3.12,0.0,0.0,0.0,0.0,0.0,0.0,2014,1
3245,66902,25863,176302,26065,38626,92095,101503,139634,25860,42122,197515,42259,25802,11747,30138,114792,127189,39266,22382,41418,95226,41424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,0
3246,26523,26307,103470,25856,184520,166020,109330,41189,36396,41192,26014,41097,39199,26244,30826,26052,210128,149962,150565,166630,94313,31092,1.73,3.4,5.25,1.75,3.25,5.0,1.75,3.4,4.3,1.67,3.1,5.0,0.0,0.0,0.0,1.8,3.3,5.0,1.73,3.25,5.0,1.8,3.5,5.5,1.7,3.4,5.0,1.67,3.6,4.75,2010,1
3247,73462,243465,109639,466854,214397,439148,514806,198559,303926,212819,318809,167059,278284,113270,110168,467467,26499,178767,45816,422413,160906,277609,1.5,4.5,5.75,1.5,4.25,5.0,1.5,4.0,5.2,0.0,0.0,0.0,1.51,4.68,6.46,1.5,4.33,6.0,1.5,4.33,6.0,1.5,4.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2014,1
3248,14100,32725,107066,23151,29049,17528,47575,33553,181262,172486,192856,32418,214617,32411,32419,32844,118897,119435,118896,32455,25416,23740,2.55,3.25,2.75,2.55,3.25,2.5,2.55,3.1,2.55,2.62,3.25,2.62,2.67,3.2,2.92,2.7,3.1,2.7,2.6,3.13,2.75,2.62,3.25,2.88,0.0,0.0,0.0,0.0,0.0,0.0,2013,0
3249,41097,26162,41198,26353,187017,35499,94323,26051,179845,46349,150565,26167,32579,40016,210117,26354,38802,182923,169193,182925,33744,26344,2.05,3.2,3.75,2.15,3.2,3.4,2.3,3.1,3.1,2.25,3.2,3.2,2.18,3.32,3.76,2.2,3.1,3.5,2.2,3.25,3.4,2.25,3.25,3.7,2.15,3.2,3.4,2.25,3.2,3.3,2012,0
3250,27467,167065,36076,27475,72532,34267,27484,27472,80564,35997,38601,30820,12330,35112,30902,37317,19511,31290,27339,31235,30445,15403,2.38,3.4,2.88,2.4,3.4,2.7,2.5,3.3,2.5,2.4,3.3,2.88,0.0,0.0,0.0,2.4,3.4,2.8,2.38,3.6,2.75,2.5,3.6,2.88,2.4,3.4,2.75,2.3,3.3,2.88,2010,1
3251,38391,13423,38389,69713,94553,38383,38393,38253,37069,46552,12692,36835,38342,37021,38789,191787,27110,37957,173449,178249,38357,197570,1.25,5.0,10.0,1.25,5.0,10.0,1.25,4.5,9.0,1.22,5.0,9.0,0.0,0.0,0.0,1.25,5.0,11.0,1.27,5.5,11.0,1.25,5.5,13.0,1.25,5.0,10.0,1.25,5.0,9.0,2011,1
3252,27424,141113,30986,29673,27461,141699,178781,304733,30840,39847,187666,27433,413155,229723,27436,229759,37042,212875,36035,115847,89240,194533,2.2,3.4,3.2,2.15,3.5,3.2,2.2,3.3,3.1,2.2,3.4,3.2,2.26,3.47,3.46,2.25,3.2,3.3,2.1,3.3,3.2,2.25,3.5,3.3,0.0,0.0,0.0,0.0,0.0,0.0,2014,1
3253,27358,94652,71399,20396,94685,178818,30707,43319,93447,129944,141161,41087,27330,30986,25483,38795,212915,39834,47357,115670,29145,69008,1.3,5.25,9.5,1.34,5.25,7.75,1.3,5.2,8.5,1.25,6.0,10.0,1.36,5.71,9.2,1.36,5.0,7.5,1.29,5.75,8.0,1.33,5.5,9.5,1.34,5.25,7.75,1.3,5.5,9.0,2013,1
3254,35477,33045,26777,30890,24130,38229,30338,23283,34574,30956,24741,24229,49571,24899,30929,150466,26163,40565,26160,33852,35454,24225,2.0,3.4,3.8,2.0,3.4,3.9,2.1,3.3,3.1,2.05,3.3,3.6,0.0,0.0,0.0,2.05,3.3,3.6,2.0,3.4,3.9,2.0,3.5,4.0,2.0,3.25,3.75,2.0,3.3,3.75,2012,1
3255,25563,104382,41707,477471,41470,112758,238841,75445,46120,215927,213653,177126,38424,474589,56678,41167,184533,33635,309334,184138,294003,354467,5.25,3.5,1.75,5.0,3.5,1.8,4.5,3.5,1.75,5.0,3.3,1.8,5.15,3.56,1.83,5.5,3.25,1.75,0.0,0.0,0.0,5.4,3.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,2015,1
3256,36878,29543,11027,38170,23587,27307,26545,36130,25819,106369,50345,27358,13518,71399,36388,94685,37374,30707,43319,93447,94652,18576,7.0,4.0,1.5,6.5,4.0,1.5,5.4,3.7,1.55,7.0,4.0,1.5,0.0,0.0,0.0,7.0,3.75,1.53,7.0,4.0,1.5,7.5,4.0,1.53,6.5,4.0,1.5,7.0,4.2,1.44,2012,0
3257,30726,30362,165823,43248,32569,35327,24154,34944,40945,30829,70409,23932,26454,23783,24166,24728,34261,24455,35532,33633,23934,51553,1.36,4.75,9.0,1.38,4.4,7.75,1.35,4.5,7.3,1.33,5.0,9.0,0.0,0.0,0.0,1.4,4.6,7.5,1.4,4.5,9.0,1.4,4.75,9.0,1.4,4.25,8.0,1.4,4.0,9.0,2011,1
3258,39599,185925,184132,26171,43341,11685,57067,21446,66890,38393,30638,106294,265275,19249,41318,30983,192325,27731,39357,31614,210278,27734,2.0,3.4,3.75,1.95,3.4,3.9,1.9,3.45,3.8,1.85,3.5,4.2,2.0,3.48,4.2,2.0,3.4,3.75,1.95,3.3,3.8,2.0,3.4,4.1,0.0,0.0,0.0,0.0,0.0,0.0,2013,1
3259,50669,27678,39441,41865,39360,30920,49940,24516,39738,27663,39502,39599,18923,24403,24412,39763,39222,39696,24391,41404,42091,39474,1.8,3.6,4.5,1.7,3.65,4.2,1.7,3.5,4.2,1.67,3.4,4.33,0.0,0.0,0.0,1.67,3.5,4.2,1.73,3.6,4.5,1.75,3.5,4.33,1.8,3.6,4.0,1.73,3.6,4.2,2009,1
3260,40980,229778,35751,260486,23697,41896,95352,246317,303922,17749,262542,47559,98057,171094,32844,180274,31916,443967,190851,25416,119435,105022,4.0,3.4,1.91,3.75,3.3,1.9,3.7,3.3,1.9,4.0,3.4,1.91,4.31,3.48,1.98,4.0,3.4,1.91,0.0,0.0,0.0,4.2,3.5,1.93,0.0,0.0,0.0,0.0,0.0,0.0,2016,1
